CustomerID,ChurnRisk,Confidence
1,Low,41.9
2,Low,39.1
3,High,82.9
4,Low,22.2
5,High,53.2
6,Low,45.5
7,Low,19.7
8,High,86.7
9,Low,47.4
10,Low,27.8
11,Low,26.9
12,Low,12.1
13,Low,17.6
14,Low,10.6
15,Low,12.9
16,High,50.8
17,High,69.3
18,Low,6.9
19,High,54.0
20,Low,9.2
21,Low,16.9
22,Low,13.5
23,Low,45.8
24,Low,19.5
25,Low,26.0
26,Low,6.0
27,Low,35.6
28,Low,24.8
29,High,57.8
30,Low,13.1
31,High,72.1
32,Low,28.8
33,Low,42.5
34,Low,17.3
35,Low,8.3
36,High,55.1
37,Low,24.3
38,Low,25.8
39,Low,25.2
40,Low,27.1
41,Low,42.5
42,High,65.4
43,High,56.3
44,High,57.9
45,Low,48.3
46,Low,21.2
47,Low,28.9
48,Low,41.5
49,Low,37.0
50,Low,27.3
51,Low,41.3
52,Low,34.3
53,Low,13.6
54,High,55.2
55,High,59.6
56,High,59.6
57,High,57.3
58,Low,29.0
59,High,58.7
60,High,50.0
61,Low,40.8
62,Low,27.8
63,Low,19.2
64,Low,44.6
65,Low,25.6
66,Low,23.6
67,Low,38.8
68,Low,44.1
69,Low,23.3
70,Low,29.5
71,High,88.8
72,Low,35.9
73,Low,29.9
74,Low,16.6
75,Low,9.4
76,Low,27.4
77,Low,20.5
78,Low,23.1
79,Low,26.6
80,Low,44.7
81,Low,21.8
82,Low,40.4
83,Low,16.7
84,Low,27.8
85,Low,28.7
86,Low,7.3
87,Low,39.5
88,Low,11.1
89,High,70.1
90,Low,10.9
91,High,63.3
92,Low,49.3
93,Low,17.5
94,Low,7.3
95,Low,18.7
96,Low,30.1
97,Low,41.4
98,Low,14.3
99,Low,11.3
100,Low,13.4
101,Low,38.7
102,Low,26.5
103,Low,26.6
104,Low,14.3
105,Low,37.1
106,High,53.0
107,Low,19.7
108,Low,33.7
109,Low,38.3
110,Low,36.4
111,Low,19.5
112,Low,39.2
113,High,57.2
114,Low,32.0
115,Low,22.0
116,Low,20.2
117,Low,40.4
118,Low,20.2
119,Low,35.7
120,Low,32.4
121,Low,31.5
122,High,55.1
123,Low,17.5
124,High,60.1
125,Low,32.8
126,High,53.5
127,High,53.8
128,High,69.3
129,Low,17.8
130,Low,33.4
131,Low,8.4
132,Low,33.4
133,Low,37.7
134,Low,8.0
135,Low,30.9
136,High,50.7
137,Low,29.4
138,Low,48.9
139,High,56.8
140,Low,27.2
141,High,51.4
142,Low,11.1
143,High,58.6
144,High,67.1
145,Low,40.2
146,Low,22.1
147,Low,29.4
148,Low,43.2
149,High,54.7
150,Low,12.4
151,Low,12.7
152,High,54.5
153,Low,23.2
154,Low,44.4
155,Low,20.0
156,High,68.4
157,Low,14.3
158,Low,6.5
159,Low,20.6
160,Low,39.9
161,Low,22.3
162,Low,14.1
163,High,60.9
164,Low,10.9
165,Low,43.8
166,Low,19.5
167,Low,36.8
168,High,58.4
169,Low,21.7
170,Low,18.6
