CustomerID,AttritionRisk,Confidence
1,Yes,56.1
2,No,45.1
3,Yes,54.5
4,No,37.1
5,Yes,62.9
6,Yes,68.9
7,Yes,57.1
8,No,46.3
9,Yes,60.7
10,No,31.1
11,No,29.9
12,No,24.4
13,No,27.8
14,No,25.9
15,No,33.0
16,Yes,73.6
17,Yes,66.1
18,No,22.8
19,Yes,67.5
20,No,20.2
21,No,44.6
22,No,32.8
23,No,44.7
24,Yes,52.5
25,No,31.9
26,No,25.0
27,No,37.6
28,Yes,51.8
29,Yes,61.8
30,No,22.7
31,No,47.6
32,No,34.7
33,No,45.3
34,No,44.9
35,No,19.1
36,Yes,55.3
37,No,27.3
38,No,36.0
39,No,26.7
40,No,45.6
41,No,44.1
42,Yes,77.5
43,Yes,84.0
44,Yes,85.7
45,Yes,87.5
46,No,34.4
47,No,27.8
48,No,41.1
49,No,41.1
50,No,37.9
51,Yes,68.2
52,No,36.5
53,No,28.5
54,No,48.7
55,Yes,56.3
56,Yes,63.5
57,Yes,73.5
58,No,30.5
59,No,30.1
60,Yes,77.5
61,No,38.4
62,No,28.5
63,No,31.7
64,Yes,84.4
65,No,31.1
66,No,39.5
67,No,31.4
68,Yes,66.8
69,No,38.6
70,No,33.0
71,Yes,73.4
72,No,19.5
73,No,36.7
74,No,30.7
75,No,41.2
76,No,31.4
77,Yes,72.5
78,No,26.9
79,No,35.9
80,No,40.0
81,No,36.3
82,No,24.1
83,No,34.1
84,No,28.8
85,Yes,50.8
86,No,24.5
87,No,30.4
88,No,19.5
89,Yes,66.2
90,No,29.2
91,Yes,61.8
92,Yes,72.7
93,No,40.7
94,No,19.3
95,Yes,51.8
96,No,33.9
97,No,47.8
98,No,27.6
99,No,22.6
100,No,27.4
101,No,46.2
102,Yes,65.1
103,No,32.3
104,No,35.3
105,Yes,56.1
106,Yes,65.4
107,No,31.1
108,No,36.4
109,No,38.0
110,No,30.2
111,No,34.1
112,No,41.8
113,Yes,57.9
114,No,40.3
115,No,29.6
116,No,34.3
117,No,39.0
118,No,40.0
119,No,30.5
120,No,36.9
121,No,34.7
122,No,42.4
123,No,38.5
124,Yes,82.3
125,No,25.9
126,Yes,53.0
127,Yes,54.8
128,Yes,78.7
129,No,41.8
130,No,30.1
131,No,27.5
132,No,35.1
133,No,37.2
134,No,20.2
135,No,37.1
136,Yes,74.4
137,No,27.4
138,No,48.0
139,Yes,81.5
140,No,36.9
141,Yes,67.1
142,No,32.3
143,Yes,64.5
144,Yes,76.1
145,No,37.6
146,No,22.8
147,No,30.6
148,No,39.4
149,Yes,68.3
150,No,22.9
151,No,25.0
152,Yes,77.7
